"email","first_name","last_name"
"aaronmitchell@yahoo.ca","Aaron                                             ","Mitchell                                          "
"alero@uol.com.br","Alexandre                                         ","Rocha                                             "
"astrid.gruber@apple.at","Astrid                                            ","Gruber                                            "
"bjorn.hansen@yahoo.no","Bjørn                                             ","Hansen                                            "
"camille.bernard@yahoo.fr","Camille                                           ","Bernard                                           "
"daan_peeters@apple.be","Daan                                              ","Peeters                                           "
"diego.gutierrez@yahoo.ar","Diego                                             ","Gutiérrez                                         "
"dmiller@comcast.com","Dan                                               ","Miller                                            "
"dominiquelefebvre@gmail.com","Dominique                                         ","Lefebvre                                          "
"edfrancis@yachoo.ca","Edward                                            ","Francis                                           "
"eduardo@woodstock.com.br","Eduardo                                           ","Martins                                           "
"ellie.sullivan@shaw.ca","Ellie                                             ","Sullivan                                          "
"emma_jones@hotmail.com","Emma                                              ","Jones                                             "
"enrique_munoz@yahoo.es","Enrique                                           ","Muñoz                                             "
"fernadaramos4@uol.com.br","Fernanda                                          ","Ramos                                             "
"fharris@google.com","Frank                                             ","Harris                                            "
"fralston@gmail.com","Frank                                             ","Ralston                                           "
"ftremblay@gmail.com","François                                          ","Tremblay                                          "
"fzimmermann@yahoo.de","Fynn                                              ","Zimmermann                                        "
"hannah.schneider@yahoo.de","Hannah                                            ","Schneider                                         "
"hholy@gmail.com","Helena                                            ","Holý                                              "
"hleacock@gmail.com","Heather                                           ","Leacock                                           "
"hughoreilly@apple.ie","Hugh                                              ","O'Reilly                                          "
"isabelle_mercier@apple.fr","Isabelle                                          ","Mercier                                           "
"jacksmith@microsoft.com","Jack                                              ","Smith                                             "
"jenniferp@rogers.ca","Jennifer                                          ","Peterson                                          "
"jfernandes@yahoo.pt","João                                              ","Fernandes                                         "
"joakim.johansson@yahoo.se","Joakim                                            ","Johansson                                         "
"johavanderberg@yahoo.nl","Johannes                                          ","Van der Berg                                      "
"johngordon22@yahoo.com","John                                              ","Gordon                                            "
"jubarnett@gmail.com","Julia                                             ","Barnett                                           "
"kachase@hotmail.com","Kathy                                             ","Chase                                             "
"kara.nielsen@jubii.dk","Kara                                              ","Nielsen                                           "
"ladislav_kovacs@apple.hu","Ladislav                                          ","Kovács                                            "
"leonekohler@surfeu.de","Leonie                                            ","Köhler                                            "
"lucas.mancini@yahoo.it","Lucas                                             ","Mancini                                           "
"luisg@embraer.com.br","Luís                                              ","Gonçalves                                         "
"luisrojas@yahoo.cl","Luis                                              ","Rojas                                             "
"manoj.pareek@rediff.com","Manoj                                             ","Pareek                                            "
"marc.dubois@hotmail.com","Marc                                              ","Dubois                                            "
"mark.taylor@yahoo.au","Mark                                              ","Taylor                                            "
"marthasilk@gmail.com","Martha                                            ","Silk                                              "
"masampaio@sapo.pt","Madalena                                          ","Sampaio                                           "
"michelleb@aol.com","Michelle                                          ","Brooks                                            "
"mphilips12@shaw.ca","Mark                                              ","Philips                                           "
"nschroder@surfeu.de","Niklas                                            ","Schröder                                          "
"patrick.gray@aol.com","Patrick                                           ","Gray                                              "
"phil.hughes@gmail.com","Phil                                              ","Hughes                                            "
"puja_srivastava@yahoo.in","Puja                                              ","Srivastava                                        "
"r.madhav@jetbrains.com","R                                                 ","Madhav                                            "
"ricunningham@hotmail.com","Richard                                           ","Cunningham                                        "
"robbrown@shaw.ca","Robert                                            ","Brown                                             "
"roberto.almeida@riotur.gov.br","Roberto                                           ","Almeida                                           "
"stanisław.wójcik@wp.pl","Stanisław                                         ","Wójcik                                            "
"steve.murray@yahoo.uk","Steve                                             ","Murray                                            "
"terhi.hamalainen@apple.fi","Terhi                                             ","Hämäläinen                                        "
"tgoyer@apple.com","Tim                                               ","Goyer                                             "
"vstevens@yahoo.com","Victor                                            ","Stevens                                           "
"wyatt.girard@yahoo.fr","Wyatt                                             ","Girard                                            "
